#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	1	0.001%	196031	100.000%	9	0.000%	809296219	100.000%
20	3	0.002%	196030	99.999%	77	0.000%	809296210	100.000%
30	5	0.003%	196027	99.998%	176	0.000%	809296133	100.000%
40	7	0.004%	196022	99.995%	316	0.000%	809295957	100.000%
50	5	0.003%	196015	99.992%	264	0.000%	809295641	100.000%
60	4	0.002%	196010	99.989%	258	0.000%	809295377	100.000%
70	4	0.002%	196006	99.987%	301	0.000%	809295119	100.000%
80	11	0.006%	196002	99.985%	915	0.000%	809294818	100.000%
90	11	0.006%	195991	99.980%	1054	0.000%	809293903	100.000%
100	8	0.004%	195980	99.974%	834	0.000%	809292849	100.000%
110	9	0.005%	195972	99.970%	1026	0.000%	809292015	99.999%
120	13	0.007%	195963	99.965%	1641	0.000%	809290989	99.999%
130	20	0.010%	195950	99.959%	2683	0.000%	809289348	99.999%
140	28	0.014%	195930	99.948%	4011	0.000%	809286665	99.999%
150	18	0.009%	195902	99.934%	2783	0.000%	809282654	99.998%
160	20	0.010%	195884	99.925%	3310	0.000%	809279871	99.998%
170	17	0.009%	195864	99.915%	2964	0.000%	809276561	99.998%
180	25	0.013%	195847	99.906%	4631	0.001%	809273597	99.997%
190	19	0.010%	195822	99.893%	3696	0.000%	809268966	99.997%
200	14	0.007%	195803	99.884%	2855	0.000%	809265270	99.996%
210	19	0.010%	195789	99.877%	4055	0.001%	809262415	99.996%
220	19	0.010%	195770	99.867%	4255	0.001%	809258360	99.995%
230	29	0.015%	195751	99.857%	6784	0.001%	809254105	99.995%
240	13	0.007%	195722	99.842%	3166	0.000%	809247321	99.994%
250	22	0.011%	195709	99.836%	5609	0.001%	809244155	99.994%
260	21	0.011%	195687	99.825%	5526	0.001%	809238546	99.993%
270	26	0.013%	195666	99.814%	7141	0.001%	809233020	99.992%
280	16	0.008%	195640	99.801%	4523	0.001%	809225879	99.991%
290	26	0.013%	195624	99.792%	7656	0.001%	809221356	99.991%
300	15	0.008%	195598	99.779%	4577	0.001%	809213700	99.990%
310	20	0.010%	195583	99.771%	6303	0.001%	809209123	99.989%
320	22	0.011%	195563	99.761%	7095	0.001%	809202820	99.988%
330	19	0.010%	195541	99.750%	6369	0.001%	809195725	99.988%
340	27	0.014%	195522	99.740%	9298	0.001%	809189356	99.987%
350	19	0.010%	195495	99.727%	6747	0.001%	809180058	99.986%
360	22	0.011%	195476	99.717%	8017	0.001%	809173311	99.985%
370	21	0.011%	195454	99.706%	7858	0.001%	809165294	99.984%
380	25	0.013%	195433	99.695%	9573	0.001%	809157436	99.983%
390	18	0.009%	195408	99.682%	7094	0.001%	809147863	99.982%
400	16	0.008%	195390	99.673%	6488	0.001%	809140769	99.981%
410	17	0.009%	195374	99.665%	7046	0.001%	809134281	99.980%
420	27	0.014%	195357	99.656%	11473	0.001%	809127235	99.979%
430	22	0.011%	195330	99.642%	9563	0.001%	809115762	99.978%
440	14	0.007%	195308	99.631%	6244	0.001%	809106199	99.977%
450	13	0.007%	195294	99.624%	5902	0.001%	809099955	99.976%
460	19	0.010%	195281	99.617%	8820	0.001%	809094053	99.975%
470	17	0.009%	195262	99.608%	8041	0.001%	809085233	99.974%
480	13	0.007%	195245	99.599%	6287	0.001%	809077192	99.973%
490	18	0.009%	195232	99.592%	8914	0.001%	809070905	99.972%
500	21	0.011%	195214	99.583%	10607	0.001%	809061991	99.971%
510	20	0.010%	195193	99.573%	10292	0.001%	809051384	99.970%
520	20	0.010%	195173	99.562%	10497	0.001%	809041092	99.968%
530	21	0.011%	195153	99.552%	11205	0.001%	809030595	99.967%
540	12	0.006%	195132	99.541%	6517	0.001%	809019390	99.966%
550	20	0.010%	195120	99.535%	11057	0.001%	809012873	99.965%
560	20	0.010%	195100	99.525%	11288	0.001%	809001816	99.964%
570	16	0.008%	195080	99.515%	9196	0.001%	808990528	99.962%
580	21	0.011%	195064	99.507%	12254	0.002%	808981332	99.961%
590	18	0.009%	195043	99.496%	10708	0.001%	808969078	99.960%
600	20	0.010%	195025	99.487%	12092	0.001%	808958370	99.958%
610	19	0.010%	195005	99.477%	11655	0.001%	808946278	99.957%
620	15	0.008%	194986	99.467%	9365	0.001%	808934623	99.955%
630	17	0.009%	194971	99.459%	10806	0.001%	808925258	99.954%
640	22	0.011%	194954	99.451%	14175	0.002%	808914452	99.953%
650	23	0.012%	194932	99.439%	15061	0.002%	808900277	99.951%
660	22	0.011%	194909	99.428%	14625	0.002%	808885216	99.949%
670	27	0.014%	194887	99.416%	18219	0.002%	808870591	99.947%
680	19	0.010%	194860	99.403%	13023	0.002%	808852372	99.945%
690	18	0.009%	194841	99.393%	12486	0.002%	808839349	99.944%
700	26	0.013%	194823	99.384%	18318	0.002%	808826863	99.942%
710	18	0.009%	194797	99.371%	12849	0.002%	808808545	99.940%
720	23	0.012%	194779	99.361%	16666	0.002%	808795696	99.938%
730	12	0.006%	194756	99.350%	8815	0.001%	808779030	99.936%
740	13	0.007%	194744	99.343%	9674	0.001%	808770215	99.935%
750	19	0.010%	194731	99.337%	14312	0.002%	808760541	99.934%
760	21	0.011%	194712	99.327%	16051	0.002%	808746229	99.932%
770	17	0.009%	194691	99.316%	13150	0.002%	808730178	99.930%
780	16	0.008%	194674	99.308%	12535	0.002%	808717028	99.928%
790	22	0.011%	194658	99.300%	17452	0.002%	808704493	99.927%
800	23	0.012%	194636	99.288%	18486	0.002%	808687041	99.925%
810	23	0.012%	194613	99.277%	18723	0.002%	808668555	99.922%
820	29	0.015%	194590	99.265%	23929	0.003%	808649832	99.920%
830	27	0.014%	194561	99.250%	22536	0.003%	808625903	99.917%
840	23	0.012%	194534	99.236%	19417	0.002%	808603367	99.914%
850	26	0.013%	194511	99.225%	22243	0.003%	808583950	99.912%
860	30	0.015%	194485	99.211%	25940	0.003%	808561707	99.909%
870	32	0.016%	194455	99.196%	27987	0.003%	808535767	99.906%
880	35	0.018%	194423	99.180%	30966	0.004%	808507780	99.903%
890	41	0.021%	194388	99.162%	36669	0.005%	808476814	99.899%
900	27	0.014%	194347	99.141%	24413	0.003%	808440145	99.894%
910	28	0.014%	194320	99.127%	25598	0.003%	808415732	99.891%
920	24	0.012%	194292	99.113%	22194	0.003%	808390134	99.888%
930	33	0.017%	194268	99.101%	30850	0.004%	808367940	99.885%
940	38	0.019%	194235	99.084%	35882	0.004%	808337090	99.881%
950	40	0.020%	194197	99.064%	38184	0.005%	808301208	99.877%
960	33	0.017%	194157	99.044%	31835	0.004%	808263024	99.872%
970	29	0.015%	194124	99.027%	28251	0.003%	808231189	99.868%
980	28	0.014%	194095	99.012%	27592	0.003%	808202938	99.865%
990	33	0.017%	194067	98.998%	32858	0.004%	808175346	99.862%
1000	46	0.023%	194034	98.981%	46207	0.006%	808142488	99.857%
1010	47	0.024%	193988	98.958%	47675	0.006%	808096281	99.852%
1020	50	0.026%	193941	98.934%	51221	0.006%	808048606	99.846%
1030	45	0.023%	193891	98.908%	46568	0.006%	807997385	99.840%
1040	46	0.023%	193846	98.885%	48056	0.006%	807950817	99.834%
1050	53	0.027%	193800	98.862%	55872	0.007%	807902761	99.828%
1060	42	0.021%	193747	98.835%	44718	0.006%	807846889	99.821%
1070	49	0.025%	193705	98.813%	52638	0.007%	807802171	99.815%
1080	54	0.028%	193656	98.788%	58549	0.007%	807749533	99.809%
1090	48	0.024%	193602	98.761%	52536	0.006%	807690984	99.802%
1100	66	0.034%	193554	98.736%	72913	0.009%	807638448	99.795%
1110	53	0.027%	193488	98.703%	59094	0.007%	807565535	99.786%
1120	56	0.029%	193435	98.676%	62957	0.008%	807506441	99.779%
1130	54	0.028%	193379	98.647%	61272	0.008%	807443484	99.771%
1140	76	0.039%	193325	98.620%	86966	0.011%	807382212	99.763%
1150	56	0.029%	193249	98.581%	64627	0.008%	807295246	99.753%
1160	63	0.032%	193193	98.552%	73367	0.009%	807230619	99.745%
1170	61	0.031%	193130	98.520%	71687	0.009%	807157252	99.736%
1180	77	0.039%	193069	98.489%	91190	0.011%	807085565	99.727%
1190	67	0.034%	192992	98.450%	80047	0.010%	806994375	99.716%
1200	67	0.034%	192925	98.416%	80702	0.010%	806914328	99.706%
1210	67	0.034%	192858	98.381%	81333	0.010%	806833626	99.696%
1220	72	0.037%	192791	98.347%	88159	0.011%	806752293	99.686%
1230	66	0.034%	192719	98.310%	81429	0.010%	806664134	99.675%
1240	72	0.037%	192653	98.277%	89586	0.011%	806582705	99.665%
1250	71	0.036%	192581	98.240%	89104	0.011%	806493119	99.654%
1260	92	0.047%	192510	98.204%	116393	0.014%	806404015	99.643%
1270	90	0.046%	192418	98.157%	114725	0.014%	806287622	99.628%
1280	96	0.049%	192328	98.111%	123319	0.015%	806172897	99.614%
1290	95	0.048%	192232	98.062%	122992	0.015%	806049578	99.599%
1300	98	0.050%	192137	98.014%	127852	0.016%	805926586	99.584%
1310	113	0.058%	192039	97.964%	148503	0.018%	805798734	99.568%
1320	82	0.042%	191926	97.906%	108637	0.013%	805650231	99.549%
1330	83	0.042%	191844	97.864%	110766	0.014%	805541594	99.536%
1340	102	0.052%	191761	97.822%	137186	0.017%	805430828	99.522%
1350	109	0.056%	191659	97.770%	147689	0.018%	805293642	99.505%
1360	107	0.055%	191550	97.714%	145995	0.018%	805145953	99.487%
1370	104	0.053%	191443	97.660%	142966	0.018%	804999958	99.469%
1380	128	0.065%	191339	97.607%	177174	0.022%	804856992	99.451%
1390	97	0.049%	191211	97.541%	135284	0.017%	804679818	99.430%
1400	113	0.058%	191114	97.492%	158762	0.020%	804544534	99.413%
1410	106	0.054%	191001	97.434%	149925	0.019%	804385772	99.393%
1420	107	0.055%	190895	97.380%	152432	0.019%	804235847	99.375%
1430	131	0.067%	190788	97.325%	187966	0.023%	804083415	99.356%
1440	120	0.061%	190657	97.259%	173347	0.021%	803895449	99.333%
1450	108	0.055%	190537	97.197%	157090	0.019%	803722102	99.311%
1460	114	0.058%	190429	97.142%	166926	0.021%	803565012	99.292%
1470	122	0.062%	190315	97.084%	179893	0.022%	803398086	99.271%
1480	137	0.070%	190193	97.022%	203355	0.025%	803218193	99.249%
1490	135	0.069%	190056	96.952%	201768	0.025%	803014838	99.224%
1500	126	0.064%	189921	96.883%	189581	0.023%	802813070	99.199%
1510	111	0.057%	189795	96.819%	168101	0.021%	802623489	99.175%
1520	142	0.072%	189684	96.762%	216469	0.027%	802455388	99.155%
1530	150	0.077%	189542	96.690%	230153	0.028%	802238919	99.128%
1540	128	0.065%	189392	96.613%	197682	0.024%	802008766	99.100%
1550	121	0.062%	189264	96.548%	188093	0.023%	801811084	99.075%
1560	158	0.081%	189143	96.486%	247224	0.031%	801622991	99.052%
1570	143	0.073%	188985	96.406%	225141	0.028%	801375767	99.021%
1580	174	0.089%	188842	96.333%	275754	0.034%	801150626	98.993%
1590	141	0.072%	188668	96.244%	224853	0.028%	800874872	98.959%
1600	159	0.081%	188527	96.172%	255114	0.032%	800650019	98.932%
1610	178	0.091%	188368	96.091%	287389	0.036%	800394905	98.900%
1620	173	0.088%	188190	96.000%	281005	0.035%	800107516	98.865%
1630	163	0.083%	188017	95.912%	266395	0.033%	799826511	98.830%
1640	160	0.082%	187854	95.829%	263083	0.033%	799560116	98.797%
1650	177	0.090%	187694	95.747%	292833	0.036%	799297033	98.764%
1660	167	0.085%	187517	95.657%	277896	0.034%	799004200	98.728%
1670	150	0.077%	187350	95.572%	251224	0.031%	798726304	98.694%
1680	174	0.089%	187200	95.495%	293120	0.036%	798475080	98.663%
1690	181	0.092%	187026	95.406%	306744	0.038%	798181960	98.627%
1700	167	0.085%	186845	95.314%	284624	0.035%	797875216	98.589%
1710	182	0.093%	186678	95.229%	311952	0.039%	797590592	98.554%
1720	203	0.104%	186496	95.136%	350134	0.043%	797278640	98.515%
1730	179	0.091%	186293	95.032%	310497	0.038%	796928506	98.472%
1740	190	0.097%	186114	94.941%	331452	0.041%	796618009	98.433%
1750	190	0.097%	185924	94.844%	333302	0.041%	796286557	98.392%
1760	196	0.100%	185734	94.747%	345836	0.043%	795953255	98.351%
1770	187	0.095%	185538	94.647%	331786	0.041%	795607419	98.309%
1780	211	0.108%	185351	94.552%	376466	0.047%	795275633	98.268%
