All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly  consensus
# misassemblies              25        25       
  # contig misassemblies     25        25       
    # c. relocations         25        25       
    # c. translocations      0         0        
    # c. inversions          0         0        
  # scaffold misassemblies   0         0        
    # s. relocations         0         0        
    # s. translocations      0         0        
    # s. inversions          0         0        
# misassembled contigs       2         2        
Misassembled contigs length  4995753   4995748  
# local misassemblies        10        10       
# scaffold gap ext. mis.     0         0        
# scaffold gap loc. mis.     0         0        
# unaligned mis. contigs     0         0        
# mismatches                 1300      1286     
# indels                     181       173      
    # indels (<= 5 bp)       151       143      
    # indels (> 5 bp)        30        30       
Indels length                2637      2628     
