All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly
# misassemblies              20      
  # contig misassemblies     20      
    # c. relocations         20      
    # c. translocations      0       
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       5       
Misassembled contigs length  4466245 
# local misassemblies        8       
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     0       
# mismatches                 1240    
# indels                     191     
    # indels (<= 5 bp)       160     
    # indels (> 5 bp)        31      
Indels length                2786    
